cohesion_kPa,unit_weight_kNm3,slope_height_m,slope_angle_deg,friction_angle_deg,water_table_ratio,af_seismic_coeff,nf_param,mf_param,teetas_param,stability_number,FOS,stability_status
5.29,18.01,10.3,15.2,10.2,5.24,6.36,0.04,0.05,0.3,0.0285,1.46976,Stable
5.73,18.01,10.7,15.6,10.4,5.6,14.22,0.08,0.07,0.3,0.0297,1.49418,Stable
6.16,18.01,11.1,16.0,10.6,5.95,22.09,0.12,0.09,0.31,0.0308,1.51695,Stable
6.59,18.01,11.4,16.3,10.9,6.3,29.95,0.15,0.12,0.31,0.0321,1.55986,Stable
7.03,18.01,11.8,16.7,11.1,6.66,37.82,0.19,0.14,0.31,0.0331,1.58196,Stable
7.46,18.01,12.2,17.0,11.3,7.01,45.69,0.23,0.16,0.31,0.034,1.60595,Stable
7.89,18.01,12.6,17.4,11.6,7.37,53.55,0.27,0.19,0.32,0.0348,1.63609,Stable
8.33,18.0,13.0,17.7,11.8,7.72,61.42,0.31,0.21,0.32,0.0356,1.65799,Stable
8.76,18.01,13.4,18.1,12.0,8.08,69.28,0.35,0.23,0.32,0.0363,1.67259,Stable
9.19,18.01,13.8,18.4,12.3,8.43,77.15,0.39,0.26,0.32,0.037,1.69961,Stable
9.63,18.0,14.2,18.8,12.5,8.78,85.02,0.43,0.28,0.33,0.0377,1.71194,Stable
10.06,18.0,14.6,19.1,12.8,9.14,92.88,0.47,0.3,0.33,0.0383,1.73965,Stable
10.49,18.01,15.0,19.5,13.0,9.49,100.75,0.51,0.33,0.33,0.0388,1.74849,Stable
10.92,18.0,15.4,19.8,13.2,9.85,108.61,0.55,0.35,0.33,0.0394,1.76496,Stable
11.36,18.01,15.8,20.2,13.5,10.2,116.48,0.59,0.37,0.33,0.0399,1.78674,Stable
11.79,18.01,16.2,20.6,13.7,10.56,124.35,0.63,0.4,0.34,0.0404,1.79676,Stable
12.22,18.01,16.6,20.9,13.9,10.91,132.21,0.67,0.42,0.34,0.0409,1.81176,Stable
12.66,18.0,17.0,21.3,14.2,11.26,140.08,0.7,0.44,0.34,0.0414,1.83384,Stable
13.09,18.0,17.4,21.6,14.4,11.62,147.95,0.74,0.47,0.34,0.0418,1.84632,Stable
13.52,18.0,17.8,22.0,14.6,11.97,155.81,0.78,0.49,0.35,0.0422,1.85561,Stable
13.96,18.0,18.1,22.3,14.9,12.33,163.68,0.82,0.51,0.35,0.0428,1.88437,Stable
14.39,18.01,18.5,22.7,15.1,12.68,171.54,0.86,0.54,0.35,0.0432,1.89123,Stable
14.82,18.01,18.9,23.0,15.4,13.04,179.41,0.9,0.56,0.35,0.0435,1.9142,Stable
15.26,18.01,19.3,23.4,15.6,13.39,187.28,0.94,0.58,0.36,0.0439,1.92307,Stable
15.69,18.0,19.7,23.8,15.8,13.75,195.14,0.98,0.61,0.36,0.0442,1.93067,Stable
16.12,18.01,20.1,24.1,16.1,14.1,203.01,1.02,0.63,0.36,0.0445,1.95314,Stable
16.55,18.01,20.5,24.4,16.3,14.45,210.87,1.06,0.65,0.36,0.0448,1.96544,Stable
16.99,18.01,20.9,24.8,16.5,14.81,218.74,1.1,0.68,0.37,0.0451,1.97324,Stable
17.42,18.01,21.3,25.2,16.8,15.16,226.61,1.14,0.7,0.37,0.0454,1.99283,Stable
17.85,18.01,21.7,25.5,17.0,15.52,234.47,1.18,0.72,0.37,0.0457,2.00571,Stable
18.29,18.0,22.1,25.9,17.2,15.87,242.34,1.22,0.75,0.37,0.046,2.01366,Stable
18.72,18.01,22.5,26.2,17.5,16.23,250.21,1.25,0.77,0.37,0.0462,2.03516,Stable
19.15,18.01,22.9,26.6,17.7,16.58,258.07,1.29,0.79,0.38,0.0464,2.04294,Stable
19.59,18.0,23.3,26.9,18.0,16.93,265.94,1.33,0.82,0.38,0.0467,2.06394,Stable
20.02,18.0,23.6,27.3,18.2,17.29,273.8,1.37,0.84,0.38,0.0471,2.07572,Stable
20.45,18.01,24.0,27.6,18.4,17.64,281.67,1.41,0.86,0.38,0.0473,2.08603,Stable
20.89,18.01,24.4,28.0,18.7,18.0,289.54,1.45,0.89,0.39,0.0475,2.10207,Stable
21.32,18.0,24.8,28.4,18.9,18.35,297.4,1.49,0.91,0.39,0.0478,2.11048,Stable
21.75,18.01,25.2,28.7,19.1,18.71,305.27,1.53,0.93,0.39,0.0479,2.12283,Stable
22.18,18.0,25.6,29.1,19.4,19.06,313.13,1.57,0.96,0.39,0.0481,2.13718,Stable
22.62,18.01,26.0,29.4,19.6,19.41,321.0,1.61,0.98,0.4,0.0483,2.14319,Stable
23.05,18.01,26.4,29.8,19.8,19.77,328.87,1.65,1.0,0.4,0.0485,2.14787,Stable
23.48,18.01,26.8,30.1,20.1,20.12,336.73,1.69,1.03,0.4,0.0486,2.16337,Stable
23.92,18.02,27.2,30.5,20.3,20.48,344.6,1.73,1.05,0.4,0.0488,2.16784,Stable
24.35,18.01,27.6,30.8,20.6,20.83,352.47,1.77,1.07,0.41,0.049,2.18652,Stable
